Genus	MB01F1	MB01F2	MB01F3	MB01F4	MB02F1	MB02F2	MB02F3	MB02F4	MB03F1	MB03F2	MB03F3	MB03F4	MB03F5	MB04F1	MB04F2	MB04F3	MB04F4	MB04F5	MB04F6	MB05F1	MB05F2	MB05F3	MB05F5	MB05F6	MB05F7	MB06F1	MB06F2	MB06F4	MB06F5	MB06F6	MB07F1	MB07F2	MB07F3	MB07F4	MB07F5	MB07F6	MB08F1	MB08F2	MB08F3	MB08F4	MB08F5	MB08F6	MB08F7	MB08F8	MB09F2	MB09F3	MB09F5	MB09F6	MB10F1	MB10F2	MB10F3	MB10F4	MB10F5	MB10F6	MB10F7	MB11F1	MB11F2	MB11F5	MB12F3	MB12F4	MB12F5	MB13F2	MB13F4	MB13F5	MB13F6	MB13F7	MB14F3	MB14F4	MB14F5	MB14F6	MB15F1	MB15F2	MB15F6	MB15F7	MB16F1	MB16F2	MB16F3	MB19F2	MB19F3	MB19F5	MB20F1	MB20F2	MB20F3	MB20F4	MB20F5	MB20F6
Flavonifractor	0	0	0	0	0	0	3.7631	0	0	0	0	4.3487	1.9498	0	0	0	18.6333	7.0954	0	4.1964	0	2.6066	0	0	0	2.8258	11.3267	6.3612	5.969	7.2403	0	2.6549	1.9962	0	0	0	2.2943	4.7908	0	5.2395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.3891	11.4911	77.9942	0	0	0	0	0	0	2.4213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusicatenibacter	0	0	0	0	4.2612	0	7.1305	0	4.2976	0	0	0	5.4005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1043
Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0203	0	8.6529	3.7232	7.4708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holdemania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1521	3.3237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9361	6.889	14.5398	2.3284	3.7554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7963	9.3008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8051	0	0	0	0	0	0	0	0	0	8.3846	16.921	13.814	19.021	8.0097	5.0121	0	5.5261	0	0	19.4824	3.9825	0	0	0	0	0	3.3548	0	5.6413	10.9585	0	0	0	10.363	0	7.7939	0	0	0	0	0	6.5421	2.6103	6.4328	2.3534	0	0	0	0	0	0	0	0	2.0138	0	0	0	0	0
Lachnoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7753	0	0	0	7.6009	0	0	0	0	0	0	0	2.8102	16.7287	9.473	0	6.1736	0	0	0	0	0	0	2.2838	4.0422	4.3608	2.3785	5.0768	7.9217	5.2958	11.3227	33.1019	38.4388	0	0	4.8517	3.1487	0	0	0	0	0	8.8647	0	0	0	0	2.201	0	5.8052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.9766
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.205	2.6511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5191	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6253	4.1473	2.7675	3.3468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9974	0	0	0	20.1537	11.7592	1.9676	10.4259	0	0	0	0	0	0	0	12.568	0	12.6512	8.5732	11.7318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.2647	96.7858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1591	11.2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.5222	3.6404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter	0	6.6917	21.2825	20.6052	28.154	20.9052	28.8362	4.4961	0	0	6.7745	13.6037	4.9959	0	7.1904	23.4615	17.6709	7.7146	0	24.9586	35.1882	36.2848	35.7662	7.7167	29.5751	0	0	0	0	0	31.2078	83.8136	91.9664	54.5429	53.1437	44.8899	10.5036	42.036	7.708	12.5057	17.3997	10.7636	2.5938	8.6869	20.0532	38.1345	74.2854	76.4965	9.752	23.3434	10.5046	6.3078	14.6412	25.2022	18.2178	63.1612	99.589	0	0	0	26.8755	0	25.9546	0	0	11.2441	0	0	0	0	0	0	27.7768	0	0	0	0	9.1733	3.7611	19.8741	2.4311	0	1.7182	7.5843	0	49.6668
Oxalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	0	0	0	0	0	0	0	0	2.5013	0	0	0	2.5503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1767	0	9.5538	8.3883	10.3562	12.0778	8.2724	10.3886	0	0	0	0	0	2.6289	10.6379	19.9368	6.7917	9.6643	48.2499	2.7651	14.3577	0	2.9978	2.3035	0	0	0	41.5355	80.3049	50.9007	12.5706	0	3.2483	0	0	0	155.6512	69.265	308.4548	249.954	4.3895	4.6322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5757	0	3.9873	13.9418	0	0	0	0	35.179
Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9873	15.3988	36.1184	11.9165	10.4104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.5068	133.2796	73.2593	76.3808	58.8839	58.7653	23.0724	39.041	0	0	17.4742	8.4391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella	0	0	0	0	0	0	0	0	5.6753	3.7276	3.0802	11.0085	6.493	0	0	0	0	0	0	11.2131	11.4051	14.0166	12.9681	14.0246	13.8364	0	0	0	0	0	0	3.4398	3.2481	1.9942	4.1328	15.8348	0	0	0	0	0	0	0	0	0	0	0	0	6.2531	6.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5453	14.3815	44.9743	27.7772	111.7222	79.9385	0	0	0	0	0	0	0	0	0	0	0	5.5046	16.309	15.6711	7.7179	29.5784	38.4883	39.9927	43.7968	15.3981	28.5021	19.3237	35.1249	23.6245	39.2081	0	0	0	0	0	0	0	0	0	0	0	0	0	14.197	7.426	0	0	0	0	0	0	0	0	0	0	0	0	0	803.3328	22.6788	30.8634	14.4028	43.675	4.5058	1.7592	22.6461	0	0	0	0	0	0
Prevotella	84.7289	208.5475	265.2053	276.7825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4274	2.6954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.1517	59.7128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.4963	3.045	427.0772	44.6014	0	0	0	0	0	0	0	0	0	0	10.6534	14.0328	114.2932	0	35.7674	14.4615	0	0	0
Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4761	4.5533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4204	13.991	13.4806	113.645	48.914	52.9471	2.2968	98.6288	82.4592	42.1569	90.6633	45.4655	21.4517	5.2629	0	17.1366	12.7305	19.8897	17.9503	31.6772	115.5414	36.4467	25.7977	18.8381	34.0365	33.0122	34.6676	2.8561	0	0	0	0	0	0	0	0	18.9755	8.7423	0	0	0	0	0	0	0	0	0	0	0	0	1.985	0	0	40.8544	0	0	0	0	0	0	0	0	0	0	0	0	95.0251
Pseudoruminoccoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3227	3.1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8015
Roseburia	0	7.1623	6.1511	0	0	0	0	0	0	0	0	20.9507	10.2893	4.1275	5.4246	19.8861	12.5749	28.4587	4.1974	0	0	0	0	2.3279	0	14.2322	35.3892	3.4905	2.2961	7.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.606	4.4136	7.6122	9.9792	13.5398	9.5015	0	0	0	13.0744	0	24.499	32.6922	0	0	1.9751	3.1117	0	20.6364	0	0	14.3063	5.0731	0	0	0	0	0	57.3868	0	0	0	0	0	0	0	0	0	0	0	0	8.8439
Ruminococcus	6.1581	0	28.3287	36.7798	160.8937	172.3106	151.6572	17.5066	9.4485	6.7331	3.4457	6.2102	8.6362	98.9732	108.1386	202.7193	31.5114	227.4767	150.1647	25.5079	22.3397	20.7369	100.5281	58.1562	66.873	0	0	0	0	0	25.8927	116.5912	120.7736	31.76	18.4561	16.2256	288.7027	125.8789	74.5717	285.2708	133.7192	154.421	62.878	97.6082	76.326	89.1289	387.2738	10.1349	39.233	38.7832	0	2.7798	5.8074	11.8036	4.5265	27.8103	66.2507	0	0	0	44.7278	0	90.0682	0	0	37.9768	0	0	0	0	0	0	240.7909	2.1385	0	0	0	0	0	5.8652	0	0	0	0	0	8.1891
Ruthenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2114	4.7175	4.6333	3.6249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subdoligranulum	0	0	0	0	73.8241	138.9788	128.7482	4.974	5.1049	0	0	60.2998	29.2712	0	0	19.8353	0	2.3688	2.9356	25.034	13.0315	10.5977	26.922	5.1877	7.9291	0	0	0	0	0	15.6579	74.7077	46.1832	21.9329	59.5613	52.1337	100.267	99.1604	40.8714	131.779	60.083	58.2157	9.9917	55.8468	127.9225	371.9747	124.3949	6.471	0	0	0	0	0	18.7086	11.9856	108.5547	77.5116	0	0	0	0	0	0	2.1807	5.0608	37.1346	2.5407	0	0	0	0	0	39.0153	0	0	0	0	0	0	0	0	0	0	0	0	307.5432
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6439	10.0426	3.3733	2.6065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0864	13.2964	20.7686	9.9061	29.0606	10.3535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1825	14.1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.6164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	5.3541	2.0072	8.5619	6.8505	0	0	0	1.9901	0	0	0	0	0	0	0	0	0	0	0	0	1.8729	0	0	0	0	7.4382	13.5928	21.2508	0	13.8824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1402.4769	93.4795	112.1491	26.3126	35.5531	0	0	0	0	0	0	0	0	0
Victivallis	0	5.9901	6.5166	8.3229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5121	3.0228	0	2.9879	2.7463	2.0407	0	0	0	0	0	0	0	0	0	0	3.3407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vidavervirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
