Genus	MB01F1	MB01F2	MB01F3	MB01F4	MB02F1	MB02F2	MB02F3	MB02F4	MB03F1	MB03F2	MB03F3	MB03F4	MB03F5	MB04F1	MB04F2	MB04F3	MB04F4	MB04F5	MB04F6	MB05F1	MB05F2	MB05F3	MB05F5	MB05F6	MB05F7	MB06F1	MB06F2	MB06F4	MB06F5	MB06F6	MB07F1	MB07F2	MB07F3	MB07F4	MB07F5	MB07F6	MB08F1	MB08F2	MB08F3	MB08F4	MB08F5	MB08F6	MB08F7	MB08F8	MB09F2	MB09F3	MB09F5	MB09F6	MB10F1	MB10F2	MB10F3	MB10F4	MB10F5	MB10F6	MB10F7	MB11F1	MB11F2	MB11F5	MB12F3	MB12F4	MB12F5	MB13F2	MB13F4	MB13F5	MB13F6	MB13F7	MB14F3	MB14F4	MB14F5	MB14F6	MB15F1	MB15F2	MB15F6	MB15F7	MB16F1	MB16F2	MB16F3	MB19F2	MB19F3	MB19F5	MB20F1	MB20F2	MB20F3	MB20F4	MB20F5	MB20F6
Anaerotruncus	0	0	0	0	6.2585	12.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4087	8.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5847	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	2.1187	22.0365	27.404	7.4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	16.9321	35.0747	67.62	61.8238	82.5925	117.7419	137.6547	35.1851	241.9142	231.0971	411.8299	1174.5255	574.5089	107.1138	160.1911	256.2382	187.5485	633.4514	150.7643	1160.4215	923.1706	1108.6671	785.9706	639.8032	719.4537	0	0	0	0	0	165.346	484.6878	457.8047	107.1664	176.6154	364.8253	337.3387	490.1519	236.0743	322.9592	406.7018	458.3192	206.7809	336.9628	5259.7167	9457.4131	498.952	222.0574	178.5724	179.6921	56.8708	25.642	42.4161	331.4745	170.6309	794.4476	560.9712	3.4497	57.4316	14.9805	149.3729	11.6155	442.2702	2.4531	0	389.3396	21.0393	11.8281	41.7969	13.0394	48.5268	25.7254	1919.2714	54.5693	65.3631	44.9627	184.1044	27.9122	0	19.2923	36.4863	0	0	280.1397	73.7693	7657.5117
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5279	0	0	0	5.6576	60.1177	30.0034	19.4632	8.3715	2.7127	20.067	19.346	6.4191	5.4627	3.9453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.0541	27.4706	484.3201	91.7669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	0	0	0	0	0	4.5318	5.679	0	0	0	0	9.3026	4.4066	0	0	0	0	0	0	26.3132	19.155	21.2736	22.1524	0	11.08	0	0	0	0	0	0	11.2496	4.961	0	9.7326	25.1022	31.4249	34.4084	0	17.922	16.8612	19.3214	2.0376	13.1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.612	3.2947	13.4602	3.4835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	0	6.8576	13.4546	4.7006	0	0	0	0	0	0	0	0	0	0	3.8985	0	3.9383	21.8896	11.332	79.1382	56.9482	36.6815	91.7959	136.6923	112.9056	0	0	0	0	0	10.2116	27.7451	24.2231	14.3246	40.5289	27.3315	4.39	13.4199	0	19.3904	20.6068	9.8332	0	0	20.6643	29.5881	0	0	25.5292	8.4581	0	0	0	10.0635	5.2976	16.0982	0	0	0	0	0	0	0	0	0	79.457	19.1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.2939
Brachyspira	6.1149	0	2.3438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricicoccus	0	7.7644	8.9405	2.5313	0	0	0	0	0	0	0	0	0	0	0	2.4497	0	4.3725	2.4696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6197	0	0	2.1173	0	0	0	0	0	0	8.3667	4.7539	4.8348	19.8132	5.5597	0	7.1729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2915	0	0	0	0	0	0	0	0	0	0	0	0	0
