Genus	MB22f4	MB22f5	MB22f7	MB22f8	MB23f1	MB23f5	MB23f7	MB24f1	MB24f2	MB24f3	MB24f4	MB25f3	MB25f5	MB26f1	MB26f2	MB26f3	MB26f4	MB26f5	MB26f6	MB26f7	MB26f8	MB26f9	MB27f1	MB27f2	MB27f3	MB27f5	MB29f2	MB29f3	MB29f4	MB29f5	MB29f6	MB29f8	MB30f1	MB30f2	MB30f3	MB30f4	MB30f5	MB30f6	MB31f1	MB31f2	MB31f3	MB31f4	MB31f5	MB32f1	MB32f2	MB32f3	MB32f4	MB32f6	MB33f1	MB33f2	MB33f3	MB33f4	MB33f5	MB33f6	MB33f7	MB33f8	MB34f1	MB34f2	MB34f3	MB34f5	MB34f6	MB34f7	MB35f1	MB35f2	MB35f3	MB35f5	MB35f6	MB36f1	MB36f2	MB37f2	MB37f3	MB37f4	MB37f6	MB37f7	MB38f1	MB38f2	MB38f3	MB38f4	MB38f5
Enterocloster	0	0	0	0	0	0	0	0	0	0	0	8.096340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.265153	2.657591	2.115561	0	1.996309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium	0	0	9.074758	0	0	0	0	0	0	0	0	0	0	10.131660	6.256170	19.591122	2.261928	2.490652	6.713953	8.441434	63.946116	31.682153	0	0	0	0	0	0	0	0	0	0	2.978342	11.698919	20.755106	0	0	10.019029	0	0	0	0	0	1.793088	0	2.134988	20.736462	11.229212	2.218701	0	0	0	8.698706	0	1.755596	5.599828	0	2.443159	0	0	0	0	0	3.180847	0	0	2.320489	2.531090	5.008686	0	0	1.811408	0	0	0	0	0	0	0
Faecalibacterium	4.338934	14.347578	171.096906	28.850903	5.935673	7.743843	10.739505	7.516209	64.131610	248.014602	184.098908	11.865550	6.023659	128.652051	92.782388	269.313153	29.423824	184.486190	66.240976	162.805310	473.307066	72.533925	36.225825	13.867614	46.714017	45.775767	12.312476	40.589600	178.498613	23.615895	9.492170	48.649514	306.967386	271.898039	150.138875	171.336329	221.049180	672.647973	447.721505	238.894818	363.478507	37.595494	317.506082	353.302399	207.626974	34.574128	1705.133003	236.640793	359.401936	533.164065	820.980677	169.467440	397.481173	50.111257	429.314642	543.837609	31.986777	212.586500	360.328958	9.081917	8.919973	21.561240	8.411710	43.034017	2.425797	0	3.666969	108.974105	258.172031	61.248122	51.315783	113.109339	37.638429	24.590926	0	55.582912	46.344487	9.929206	6.676395
Faecalicatena	0	0	0	0	0	0	0	0	0	2.944049	2.536725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	0	0	0	0	2.720880	0	0	0	0	0	0	0	3.608836	16.450122	5.442233	25.359591	0	30.508005	5.104959	8.011263	103.828517	17.277953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.208947	120.001655	38.098781	25.596170	4.991417	9.695798	47.051541	51.054104	5.311454	97.548077	33.927154	4.344383	8.240074	15.264073	14.084004	48.631586	0	35.528204	37.773984	0	0	4.220175	0	0	1.862088	0	0	0	0	0	0	1.898553	0	0	2.863666	0	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	2.145833	3.254774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.134343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.223945	4.336050	1.981713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96838	0	0	0	0	0	0	0	0	0	0
Intestinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.300955	0	2.014820	0	0	10.454834	3.121328	0	0	0	0	0	12.600736	7.405805	3.497479	0	2.318736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.004601	1.863477	0	0	0	0	0	0	0	0	0	0	3.290629	0	0	0	0	2.109586	0	6.332459	6.765307	0	0	2.299962	12.000635	376.749090	20.627339	0	0	0	0	0	0
